Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,70.430000,70.430000,69.250000,69.500000,69.066208,1831686
2015-09-29,69.699997,69.760002,68.900002,69.089996,68.658768,625929
2015-09-30,70.000000,70.400002,68.910004,69.040001,68.609085,2976029
2015-10-01,69.199997,70.500000,69.199997,69.989998,69.553139,5658001
2015-10-02,70.000000,70.570000,69.690002,70.190002,69.751900,1787054
2015-10-05,70.599998,71.750000,70.019997,71.620003,71.172981,2189287
2015-10-06,72.059998,77.260002,72.059998,74.449997,73.985313,4628154
2015-10-07,74.900002,76.800003,74.720001,76.309998,75.833702,2022779
2015-10-08,76.320000,78.570000,76.279999,78.089996,77.602592,1308855
2015-10-09,78.000000,79.580002,77.050003,79.419998,78.924286,1852141
2015-10-12,79.599998,79.800003,76.730003,77.010002,76.529335,1086133
2015-10-13,77.000000,78.989998,76.110001,77.940002,77.453537,932667
2015-10-14,78.000000,79.199997,77.250000,78.220001,77.731789,747686
2015-10-15,78.220001,79.150002,78.220001,78.919998,78.427414,1218599
2015-10-16,79.000000,79.010002,77.209999,78.220001,77.731789,2122475
2015-10-19,78.199997,78.540001,76.480003,77.330002,76.847336,1138428
2015-10-20,77.690002,78.500000,77.349998,78.239998,77.751648,679531
2015-10-21,78.349998,79.900002,77.989998,79.519997,79.023666,3252535
2015-10-22,79.889999,81.779999,79.570000,81.209999,80.703117,1544443
2015-10-23,80.000000,80.809998,80.000000,80.620003,80.116806,1749732
2015-10-26,80.650002,81.000000,80.180000,80.870003,80.365242,595058
2015-10-27,80.949997,80.949997,78.629997,79.699997,79.202538,1165407
2015-10-28,79.709999,79.870003,78.089996,78.949997,78.457222,1015758
2015-10-29,78.900002,80.879997,78.800003,80.250000,79.749115,1011232
2015-10-30,80.300003,80.300003,78.660004,79.650002,79.152863,1348847
2015-11-03,79.650002,79.900002,77.120003,78.410004,77.920601,1096582
2015-11-04,78.410004,78.410004,75.660004,76.190002,75.714455,2032354
2015-11-05,76.550003,77.320000,75.910004,76.699997,76.221268,1979674
2015-11-06,77.000000,77.589996,75.900002,76.610001,76.131828,455832
2015-11-09,76.610001,77.050003,76.309998,76.889999,76.410080,1022770
2015-11-10,76.800003,78.559998,76.800003,77.220001,76.738029,924967
2015-11-11,76.510002,76.900002,73.599998,74.739998,74.273506,998841
2015-11-12,74.750000,75.349998,74.500000,75.230003,74.760445,456206
2015-11-13,75.000000,75.019997,73.150002,74.680000,74.213875,650219
2015-11-17,75.050003,75.330002,74.000000,74.629997,74.164192,1084950
2015-11-18,74.599998,74.930000,73.019997,73.669998,73.210182,927453
2015-11-19,73.739998,77.360001,73.739998,76.300003,75.823769,1174600
2015-11-20,76.650002,78.000000,75.000000,77.680000,77.195152,1039181
2015-11-23,77.690002,77.839996,75.699997,77.029999,76.549210,1109441
2015-11-24,77.440002,77.449997,73.519997,74.879997,74.412628,857804
2015-11-25,75.000000,75.480003,72.879997,73.599998,73.140617,2082022
2015-11-26,73.599998,74.000000,72.349998,73.809998,73.349304,665468
2015-11-27,73.790001,73.839996,71.050003,72.339996,71.888474,873105
2015-11-30,72.650002,73.050003,72.300003,72.709999,72.256172,938427
2015-12-01,73.000000,73.849998,72.629997,72.820000,72.365486,736206
2015-12-02,73.500000,73.519997,72.870003,73.070000,72.613930,589959
2015-12-03,73.199997,73.330002,72.500000,72.820000,72.365486,507648
2015-12-04,74.699997,74.699997,71.570000,72.330002,71.878548,854062
2015-12-07,71.489998,73.099998,70.690002,72.980003,72.524490,442445
2015-12-08,71.099998,72.980003,70.779999,71.050003,70.606529,580629
2015-12-09,71.400002,73.339996,71.050003,73.029999,72.574173,316449
2015-12-10,73.029999,73.029999,71.050003,72.459999,72.007736,528947
2015-12-11,71.000000,73.169998,70.500000,70.760002,70.318352,392115
2015-12-14,70.750000,71.160004,70.050003,70.690002,70.248787,267676
2015-12-15,70.889999,72.500000,70.889999,72.389999,71.938171,600765
2015-12-16,72.349998,73.000000,72.300003,72.750000,72.295929,388615
2015-12-17,73.010002,73.300003,72.690002,72.919998,72.464859,408072
2015-12-18,73.250000,73.250000,70.930000,71.070000,70.626404,497808
2015-12-21,71.099998,72.820000,70.660004,70.889999,70.447533,237442
2015-12-22,71.000000,72.000000,69.709999,69.839996,69.404091,375275
2015-12-23,69.839996,73.250000,69.760002,72.599998,72.146858,618292
2015-12-24,72.800003,72.849998,72.000000,72.519997,72.067352,68662
2015-12-28,72.550003,72.599998,71.000000,71.040001,70.596603,121330
2015-12-29,71.800003,73.099998,71.550003,72.000000,71.550606,157103
2015-12-30,72.010002,72.349998,71.160004,71.870003,71.421417,265195
2015-12-31,71.809998,73.000000,71.800003,72.339996,71.888474,191072
2016-01-04,71.500000,73.360001,70.089996,72.980003,72.524490,483941
2016-01-05,73.070000,73.349998,71.099998,71.480003,71.033859,427383
2016-01-06,71.250000,71.599998,70.260002,70.940002,70.497223,458617
2016-01-07,71.000000,73.199997,70.010002,72.309998,71.858665,775777
2016-01-08,72.300003,72.540001,70.199997,71.070000,70.626404,692842
2016-01-11,72.800003,73.139999,70.500000,71.720001,71.272354,501210
2016-01-12,72.050003,73.300003,71.550003,72.239998,71.789108,557003
2016-01-13,72.599998,72.599998,70.440002,70.680000,70.238853,821202
2016-01-14,71.550003,72.250000,70.889999,71.160004,70.715851,405421
2016-01-15,71.500000,71.989998,70.559998,71.290001,70.845039,957345
2016-01-18,71.400002,71.400002,70.849998,71.129997,70.686035,42300
2016-01-19,71.449997,72.989998,70.519997,71.790001,71.341919,1232294
2016-01-20,71.790001,71.790001,70.010002,70.419998,69.980461,791789
2016-01-21,71.000000,71.290001,70.000000,70.139999,69.702217,971760
2016-01-22,71.000000,71.099998,69.050003,69.919998,69.483589,910773
2016-01-25,70.000000,70.290001,68.849998,70.129997,69.692276,1112449
2016-01-26,70.690002,71.500000,69.900002,70.599998,70.159340,1316102
2016-01-27,70.629997,72.000000,69.820000,70.900002,70.457474,1213606
2016-01-28,70.900002,72.330002,70.500000,71.580002,71.133232,540263
2016-01-29,71.320000,71.940002,70.209999,70.989998,70.546906,2279740
2016-02-02,70.900002,74.150002,70.900002,73.510002,73.051186,1918421
2016-02-03,73.849998,75.690002,73.580002,75.430000,74.959198,1331965
2016-02-04,75.000000,76.089996,74.680000,75.190002,74.720695,807053
2016-02-05,74.650002,75.320000,72.180000,72.760002,72.305862,575206
2016-02-08,73.050003,76.209999,72.000000,75.199997,74.730621,1195774
2016-02-09,74.000000,76.000000,73.360001,73.480003,73.021370,569733
2016-02-10,73.480003,74.989998,72.500000,73.599998,73.140617,1241413
2016-02-11,73.949997,75.349998,73.180000,74.870003,74.402702,627969
2016-02-12,74.300003,75.010002,74.000000,74.809998,74.343063,563830
2016-02-15,74.809998,75.489998,74.339996,75.190002,74.720695,232887
2016-02-16,75.000000,75.500000,74.699997,75.360001,74.889633,513887
2016-02-17,75.000000,75.680000,72.660004,73.919998,73.458618,1489827
2016-02-18,74.000000,74.300003,72.150002,72.730003,72.276054,1442726
2016-02-19,73.000000,73.730003,71.529999,72.160004,71.709618,1091057
2016-02-22,73.000000,73.669998,71.709999,72.230003,71.779175,448890
2016-02-23,73.360001,74.800003,72.000000,72.389999,71.938171,1298988
